supplier_id,country,lead_time_days,quality_score,compliance_score,capacity_units_mo
SUP-CN-01,CN,16,82,78,15000
SUP-CN-02,CN,12,80,77,50000
SUP-CN-03,CN,18,81,75,12000
SUP-CN-04,CN,15,79,76,10000
SUP-MX-01,MX,9,83,85,14000
SUP-MX-02,MX,11,81,84,11000
SUP-VN-01,VN,13,78,79,9000
SUP-US-01,US,7,88,90,6000
SUP-CN-05,CN,20,85,82,8000
SUP-CN-06,CN,14,83,80,12000
SUP-CN-07,CN,17,81,79,15000
SUP-CN-08,CN,13,80,77,18000
SUP-CN-09,CN,19,84,81,10000
SUP-CN-10,CN,16,82,78,14000
SUP-CN-11,CN,22,87,85,6000
SUP-CN-12,CN,18,86,83,8000
SUP-CN-13,CN,15,81,79,25000
SUP-CN-14,CN,14,83,80,20000
SUP-DE-01,DE,8,92,94,5000
SUP-VN-02,VN,16,79,81,7000
SUP-MX-03,MX,10,84,86,13000
SUP-MX-04,MX,12,82,85,11000
SUP-MX-05,MX,11,81,84,9000
SUP-TH-01,TH,14,80,82,8000
SUP-IN-01,IN,18,77,75,6000
SUP-BR-01,BR,21,76,78,5000
